### unsigned VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	38	8
50	95	16
100	201	31
200	403	59
500	1016	145
1000	2116	307
1500	3127	453
2000	4192	609
DATA(@order=10)	BASELINE	ACCELERATOR
20	67	9
50	185	18
100	376	32
200	759	61
500	1921	148
1000	3993	313
1500	5921	462
2000	7941	620
DATA(@order=20)	BASELINE	ACCELERATOR
20	112	14
50	342	25
100	713	42
200	1465	76
500	3709	179
1000	7719	374
1500	11508	550
2000	15439	738
DATA(@order=50)	BASELINE	ACCELERATOR
20	231	25
50	730	36
100	1659	53
200	3495	87
500	9011	192
1000	18747	391
1500	28234	569
2000	37893	760
DATA(@order=100)	BASELINE	ACCELERATOR
20	422	46
50	1213	58
100	3000	78
200	6865	117
500	17818	251
1000	37013	461
1500	56175	664
2000	75050	880
DATA(@order=200)	BASELINE	ACCELERATOR
20	815	92
50	2181	106
100	4935	128
200	11966	171
500	34649	321
1000	72054	572
1500	111806	783
2000	148896	1026
DATA(@order=500)	BASELINE	ACCELERATOR
20	1974	252
50	5082	268
100	10739	294
200	23584	367
500	73718	524
1000	169490	823
1500	269304	1092
2000	365110	1379
