### floating-point VALUES (OPTIMIZATION -O0) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	5488	995
10	9626	1140
20	15856	1478
50	31433	2355
100	56653	3805
200	108179	6729
500	260360	15429
ORDER(@data=50)	BASELINE	ACCELERATOR
5	13894	2021
10	26762	2166
20	49161	2504
50	102330	3321
100	165944	4771
200	293022	7695
500	675440	16395
ORDER(@data=100)	BASELINE	ACCELERATOR
5	29119	3715
10	54420	3860
20	104161	4198
50	237724	4915
100	422188	6365
200	676280	9289
500	1438878	17989
ORDER(@data=200)	BASELINE	ACCELERATOR
5	58352	7079
10	111020	7224
20	213088	7562
50	506207	8079
100	982110	9529
200	1679633	12453
500	3206050	22371
ORDER(@data=500)	BASELINE	ACCELERATOR
5	148203	17291
10	279347	17436
20	539585	17774
50	1309334	17691
100	2580321	20377
200	4976623	23285
500	10351886	31983
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	306362	36525
10	580141	36672
20	1121170	36984
50	2722640	35987
100	5371094	37437
200	10424493	41491
500	24260394	50235
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	453859	53959
10	860757	54096
20	1673535	54418
50	4101727	52397
100	8151590	53851
200	16179529	56759
500	38712081	66673
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	607446	72524
10	1153720	72637
20	2244081	73005
50	5504508	69955
100	10899669	71405
200	21586392	74317
500	52623670	84204
