### unsigned VALUES (OPTIMIZATION -O3) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	1204	368
10	2223	427
20	6904	583
50	14104	972
100	27248	1566
200	52396	2754
500	129064	6366
ORDER(@data=50)	BASELINE	ACCELERATOR
5	2876	764
10	5572	799
20	28862	931
50	49905	1320
100	78574	1914
200	136991	3102
500	311230	6714
ORDER(@data=100)	BASELINE	ACCELERATOR
5	5718	1408
10	11166	1443
20	55465	1575
50	128695	1916
100	198388	2486
200	314044	3674
500	663674	7286
ORDER(@data=200)	BASELINE	ACCELERATOR
5	11306	2696
10	23570	2779
20	94857	2911
50	234854	3252
100	453406	3774
200	743548	4842
500	1441549	8454
ORDER(@data=500)	BASELINE	ACCELERATOR
5	29259	6608
10	58314	6643
20	213102	6775
50	523094	7116
100	1039475	7638
200	2061092	8682
500	4415535	11886
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	58416	13072
10	117853	13155
20	408983	13287
50	1005222	13628
100	1997097	14150
200	3971898	15194
500	9846326	18350
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	87930	18840
10	176629	18899
20	622434	19031
50	1537093	20512
100	3072329	21034
200	6180317	22078
500	15153586	25234
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	116310	25707
10	235427	25834
20	817541	25938
50	2018387	26256
100	4029212	26778
200	8090380	27822
500	20612726	30978
