### signed VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	41	8
50	103	16
100	217	31
200	436	59
500	1100	145
1000	2294	307
1500	3397	453
2000	4548	609
DATA(@order=10)	BASELINE	ACCELERATOR
20	72	9
50	200	18
100	406	32
200	830	61
500	2088	148
1000	4341	313
1500	6438	462
2000	8623	620
DATA(@order=20)	BASELINE	ACCELERATOR
20	119	14
50	368	25
100	770	42
200	1584	76
500	4033	179
1000	8378	374
1500	12498	550
2000	16767	738
DATA(@order=50)	BASELINE	ACCELERATOR
20	237	25
50	769	36
100	1781	53
200	3778	87
500	9770	192
1000	20347	391
1500	30642	569
2000	41131	760
DATA(@order=100)	BASELINE	ACCELERATOR
20	429	46
50	1252	58
100	3165	78
200	7350	117
500	19268	251
1000	40124	461
1500	60886	664
2000	81404	880
DATA(@order=200)	BASELINE	ACCELERATOR
20	822	92
50	2220	106
100	5099	128
200	12621	171
500	37233	321
1000	77907	572
1500	120910	783
2000	161266	1026
DATA(@order=500)	BASELINE	ACCELERATOR
20	1980	252
50	5122	268
100	10904	294
200	24241	367
500	77772	524
1000	181634	823
1500	289675	1092
2000	393564	1379
