### unsigned VALUES (OPTIMIZATION -O0) ###
DATA(@order=5),BASELINE,ACCELERATOR
20	40	8
50	102	16
100	215	30
200	431	57
500	1088	141
1000	2265	298
1500	3348	441
2000	4489	592
DATA(@order=10)	BASELINE	ACCELERATOR
20	71	10
50	198	19
100	403	34
200	812	64
500	2057	155
1000	4275	326
1500	6340	481
2000	8502	646
DATA(@order=20)	BASELINE	ACCELERATOR
20	120	14
50	367	24
100	764	41
200	1569	74
500	3971	175
1000	8264	364
1500	12321	536
2000	16531	720
DATA(@order=50)	BASELINE	ACCELERATOR
20	247	25
50	782	36
100	1776	54
200	3742	89
500	9648	195
1000	20073	397
1500	30230	578
2000	40572	771
DATA(@order=100)	BASELINE	ACCELERATOR
20	452	46
50	1299	58
100	3213	78
200	7351	116
500	19077	249
1000	39629	459
1500	60145	660
2000	80355	875
DATA(@order=200)	BASELINE	ACCELERATOR
20	873	92
50	2335	105
100	5284	127
200	12812	170
500	37099	318
1000	77148	567
1500	119709	776
2000	159421	1016
DATA(@order=500)	BASELINE	ACCELERATOR
20	2114	247
50	5441	262
100	11499	288
200	25251	359
500	78929	512
1000	181471	804
1500	288341	1068
2000	390919	1349
